country_name,id,source
Tuvalu,237,content_territories
Uganda,164,content_territories
Ukraine,163,content_territories
United Arab Emirates,2,content_territories
United Kingdom,56,content_territories
United States,165,content_territories
Uruguay,166,content_territories
Us Minor Outlying Islands,238,content_territories
Us Virgin Islands,241,content_territories
Uzbekistan,167,content_territories
Vanuatu,171,content_territories
Venezuela,169,content_territories
Viet Nam,170,content_territories
Wallis and Futuna Islands,242,content_territories
Western Sahara,192,content_territories
Yemen,172,content_territories
Zambia,174,content_territories
Zimbabwe,175,content_territories
