name,id,status,external_id,source
SG: PlutoTV Category: Comedy: IT,1165478,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: LATAM,1198034,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: MX,1165461,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: NI,1165462,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: NO,1165473,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PA,1165463,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PE,1165464,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: PY,1165465,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: SE,1192155,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: SV,1165466,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: UK,1165470,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: US,1163048,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: UY,1165467,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Comedy: VE,1165468,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Competencias: AR,1117505,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: BO,1117674,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: BR,1167816,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Competencias: CL,1117979,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: CO,1118147,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: CR,1118315,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: DO,1118483,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: EC,1118652,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: GT,1118821,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: HN,1118988,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: MX,1119156,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: NI,1119324,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: PA,1119492,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: PE,1119660,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: PY,1119828,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: SV,1119996,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: UY,1120168,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Competencias: VE,1120335,INACTIVE,5dd6d935d000120009bc1132,site_group_api_v4
SG: PlutoTV Category: Crime: AR,1162868,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: AT,1162889,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: AU,1238468,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: BO,1162869,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: BR,1162885,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: CA,1162864,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: CH,1162888,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: CL,1162870,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: CO,1162872,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: CR,1162871,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: DE,1162887,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: DK,1184849,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: DO,1162873,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: EC,1162874,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: ES,1162890,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: FI,1217656,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: FR,1162891,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: Global,1162862,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: GSA,1197994,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: GT,1162875,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: HN,1162876,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: IE,1253668,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: IT,1162892,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: LATAM,1198035,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: MX,1162877,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: NI,1162878,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: NO,1162886,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: PA,1162879,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: PE,1162880,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: PY,1162881,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: SE,1162866,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: SV,1162882,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: UK,1200885,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: US,1162863,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: UY,1162883,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Crime: VE,1162884,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: CRmedy: CR,1198091,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: CRmedy: LATAM,1198090,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: AR,1167793,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: BO,1167794,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: BR,1166596,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: CL,1167795,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: CO,1167797,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: CR,1167796,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: DO,1167798,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: EC,1167799,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: ES,1192082,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: GT,1167800,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: HN,1167801,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: MX,1167802,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: NI,1167803,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: PA,1167804,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: PE,1167805,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: PY,1167806,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: SV,1167807,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: UY,1167808,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Curiosity: VE,1167792,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: AR,1198037,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: AT,1197996,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: BO,1198066,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: CA,1224863,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: CH,1197997,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: CL,1198074,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: CO,1198082,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: CR,1198092,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: DE,1197998,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: DO,1198100,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: EC,1198108,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: Global,1162984,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: GSA,1197995,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: GT,1198116,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: HN,1198124,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: LATAM,1198036,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: MX,1198132,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: NI,1198140,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: NO,1192143,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: PA,1198148,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: PE,1198156,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: PY,1198164,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: SE,1192159,INACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: SV,1198172,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: UK,1192483,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: US,1162985,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: UY,1198180,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Daytime TV: VE,1162986,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama US,1322029,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: AR,1162966,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: AT,1184845,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: AU,1238466,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: BO,1162967,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: BR,1197706,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: CA,1162983,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: CH,1184863,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: CL,1162968,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: CO,1162970,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: CR,1162969,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: DE,1184855,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: DK,1184848,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: DO,1162971,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: EC,1162972,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: ES,1191913,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: FI,1184852,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: FR,1192093,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: Global,1162965,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: GSA,1198031,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: GT,1162973,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: HN,1162974,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: IE,1253667,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: IT,1192110,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: LATAM,1198038,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: MX,1162975,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: NI,1162976,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: NO,1184857,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: PA,1162977,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: PE,1162978,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: PY,1162979,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: SE,1184861,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: SV,1162980,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: UK,1189781,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: US,1121313,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: UY,1162981,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Drama: VE,1162982,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: AR,1162814,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: AT,1189770,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: AU,1238467,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: BO,1162815,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: BR,1166597,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: CA,1191701,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: CH,1189778,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: CL,1162816,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: CO,1162818,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: CR,1162817,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: DE,1189774,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: DK,1185276,ACTIVE,,site_group_api_v4
