show,segment_name,segment_id,platform,region,source
High Stakes Drama Fans,AAM-VCBS-d20: Extension | High Stakes Drama Fans Segment : Stream Paramount Wide,25995747,Paramount+,,pplus_audience_groupings
Procedural Drama Fans,AAM-VCBS-d20: Extension | Procedural Drama Fans Segment : Stream Paramount Wide,25995761,Paramount+,,pplus_audience_groupings
Edgy & YA Fans,AAM-VCBS-d20: Extension | Edgy & Young Adult Fans Segment : Stream Paramount Wide,25995783,Paramount+,,pplus_audience_groupings
Sci-Fi/Fantasy Fans,AAM-VCBS-d20: Extension | Sci-Fi/Fantasy Fans Segment : Stream Paramount Wide,25995797,Paramount+,,pplus_audience_groupings
Sitcoms & Light Drama Fans,AAM-VCBS-d20: Extension | Sitcoms & Light Drama Fans Segment : Stream Paramount Wide,25995798,Paramount+,,pplus_audience_groupings
Reality Fans,AAM-VCBS-d20: Extension | Reality Fans Segment : Stream Paramount Wide,25995800,Paramount+,,pplus_audience_groupings
