segment_name,structure
AAM-VCBS-d20: Extension | Parot : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Personality Crisis: One Night Only : Movie - Paramount+,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Picard: Season 2 Viewer: Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Procedural Drama Fans Segment : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Ray Donovan : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Reality Fans Segment : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | S.O.G.: The Book of Ward : Movie - Paramount+,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | STAND - Paramount+,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Sci-Fi/Fantasy Fans Segment : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Shameless : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Showtime Championship Boxing : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Shut Up and Dribble : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Sitcoms & Light Drama Fans Segment : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | THE REVEAL with Mark Kriegel : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Affair : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Chi: Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Circus : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Kings : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The L Word: Generation Q : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Lincoln Project : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | The Tudors : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Vice : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Waco: The Aftermath : Stream Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | When You Least Expect It : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Yellowjackets : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Your Honor : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d20: Extension | Ziwe : Stream VCBS Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | America's Test Kitchen : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Antiques Road Show : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Antiques Road Trip : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Bar Rescue : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Baywatch : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Beverly Hills 90210 : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | COPS : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Cheaters : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Cold Case Files : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Dallas Cowboys Cheerleaders : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Dark Shadows : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Dateline NBC: Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Deal or No Deal : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Degrassi : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Dog The Bounty Hunter : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Fear Factor : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Forensic Files: Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Happy Days : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Heartland : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Hell's Kitchen : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Hot Bench : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Iron Chef : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Jeopardy : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Julia at Home : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Love & Hip Hop : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Matlock : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Midsomer Murders : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Mystery Science Theater 3000 : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Naruto : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Rawhide : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Rescue 911 : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Rifleman : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Stargate : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Addams Family : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Best of the Carol Burnett Show : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Best of the Ed Sullivan Show : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Beverly Hillbillies : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Johnny Carson Show : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Love Boat : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The New Detectives : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | The Walking Dead : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Three's Company : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Tiny House Nation : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Top Gear : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Unsolved Mysteries : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Wanted Dead or Alive : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Wheel of Fortune : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d27: Extension | Yu-Gi-Oh! : Paramount Wide,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Awesomeness TV : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | BET : Content Brand Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | BET : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | BET : Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | CBS : Content Brand Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | CMT : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Comedy Central : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Dabl : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Logo : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | MTV : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Movie : Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Smithsonian : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | Smithsonian Channel : Content Brand Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | TV & Movies : Interest - VCBS,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | TVLand : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d28: Profiles | VH1 : Content Entity - Paramount,AAM-VCBS-Extension
AAM-VCBS-d35: Profiles | BeautyCon : Event - VCBS,AAM-VCBS-Extension
AAM-VCBS-d36: App | All Access : Android,AAM-VCBS-Extension
AAM-VCBS-d36: App | All Access : iOS,AAM-VCBS-Extension
AAM-VCBS-d36: App | ET Live : Android,AAM-VCBS-Extension
AAM-VCBS-d36: App | ET Live : iOS,AAM-VCBS-Extension
AAM-VCBS-d36: App | Maxpreps : Android,AAM-VCBS-Extension
AAM-VCBS-d36: App | Maxpreps : iOS,AAM-VCBS-Extension
AAM-VCBS-d36: Apps | Roku Apple TV : VCBS,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | All Access : Android TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | All Access : Apple TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | All Access : Fire TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | All Access : Roku,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | All Devices : VCBS,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS News : Android TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS News : Apple TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS News : Chromecast,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS News : Fire TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS News : Roku,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS Sports : Android TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS Sports : Apple TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS Sports : Chromecast,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS Sports : Fire TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBS Sports : Roku,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBSTVE : Android TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | CBSTVE : Apple TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | ET Live : Fire TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | ET Live : Roku,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | PPlus : Android TV,AAM-VCBS-Extension
AAM-VCBS-d36: OTT | PPlus : Apple TV,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Anime : Topic - Comicbook,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Battle Royal : Genre - Games,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Call of Duty : Title/Franchise - Games,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Comics : Topic - Comicbook,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Games : Topic - Comicbook,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Nintendo : Platform - Games,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | PC : Platform - Games,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Playstation : Platform - Games,AAM-VCBS-Extension
AAM-VCBS-d6: Extension | Xbox : Platform - Games,AAM-VCBS-Extension
AAM-acxiom-f19: profiles > entertainment - video games Aug21,AAM-VCBS-Extension
AAM-lotame-f25: profiles > interest - video games Aug21,AAM-VCBS-Extension
AU - DWH - 10 - ID - Base - Demo - F18+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-24 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-29 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-49 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F18-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F25-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F30+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F30-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F30-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F35+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F35-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F35-60 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F35-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F40+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F40-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F40-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F45+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - F55+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - Female APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-24 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-29 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-49 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M18-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M20-40 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M25+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M25-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M25-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M25-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M25-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M30+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M30-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M35+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M35-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M35-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M40+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M40-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M40-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M45+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - M55+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - Male APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-24 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-29 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-49 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P18-65 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P20-40 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-34 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-39 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-44 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-49 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P25-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P30+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P30-49 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P30-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P30-60 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P35+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P35-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P35-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P40+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P40-54 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P40-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P45+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P55+ APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Base - Demo - P55-64 APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - 10 News watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - 16 and Pregnant watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - 999 Whats Your Emergency watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - A League Women watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - A Leagues All Access watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Airport 24 7 watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Airport 24/7 watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - All 4 Adventure watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Ambulance Australia watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Ambulance UK watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Anthony Bourdain Parts Unknown watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Australia Cup watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Bachelor watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Bachelorette watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Becker watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Being Human UK watchers APAC,AU-DWH-Summit
