name,id,status,source
Mid_Roll_Break 8_Last,61141,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 9_First,61142,ACTIVE,ad_unit_api_v4
Mid_Roll_Break 9_Last,61143,ACTIVE,ad_unit_api_v4
Mid_Roll_Break _1_Any,72373,ACTIVE,ad_unit_api_v4
Mid_Roll_Break_Any_First,61609,ACTIVE,ad_unit_api_v4
Mid_Roll_Break_Any_Last,61610,ACTIVE,ad_unit_api_v4
Mid_Roll_Middle,63258,ACTIVE,ad_unit_api_v4
My5_Channel_Bumper_Mid_Roll,74745,ACTIVE,ad_unit_api_v4
My5_Channel_Bumper_Post_Roll,74746,ACTIVE,ad_unit_api_v4
My5_Channel_Bumper_Pre_Roll,69988,ACTIVE,ad_unit_api_v4
My5_Channel_Sponsor_Mid_Roll,69901,ACTIVE,ad_unit_api_v4
My5_Channel_Sponsor_Post_Roll,74747,ACTIVE,ad_unit_api_v4
My5_Channel_Sponsor_Pre_Roll,69900,ACTIVE,ad_unit_api_v4
My5_Promo_Mid_Roll,69902,ACTIVE,ad_unit_api_v4
My5_Promo_Post_Roll,69905,ACTIVE,ad_unit_api_v4
My5_Promo_Pre_Roll,69899,ACTIVE,ad_unit_api_v4
My5_Sponsor_Mid_Roll,69903,ACTIVE,ad_unit_api_v4
My5_Sponsor_Mid_Roll_First,71402,ACTIVE,ad_unit_api_v4
My5_Sponsor_Mid_Roll_Last,71403,ACTIVE,ad_unit_api_v4
My5_Sponsor_Post_Roll,69904,ACTIVE,ad_unit_api_v4
My5_Sponsor_Pre_Roll,69898,ACTIVE,ad_unit_api_v4
Net10_Brand_Bumper_Mid_Roll,70049,ACTIVE,ad_unit_api_v4
Net10_Live_ Pre_Roll,70313,ACTIVE,ad_unit_api_v4
Net10_Sponsored_ Pre_Roll,70147,ACTIVE,ad_unit_api_v4
Paramount House Midroll,72000,ACTIVE,ad_unit_api_v4
Paramount House Postroll,72001,ACTIVE,ad_unit_api_v4
Paramount House Preroll,71999,ACTIVE,ad_unit_api_v4
Pause_Ad,63413,ACTIVE,ad_unit_api_v4
PGATour Scene Setter,61737,ACTIVE,ad_unit_api_v4
Pluto_House_Mid_Roll,61111,ACTIVE,ad_unit_api_v4
Pluto_House_Mid_Roll_Clickable,65541,ACTIVE,ad_unit_api_v4
Pluto_House_Post_Roll,61112,IN_ACTIVE,ad_unit_api_v4
Pluto_House_Pre_Roll,61110,IN_ACTIVE,ad_unit_api_v4
Pluto_intl_mid_roll,67393,ACTIVE,ad_unit_api_v4
Pluto_Mid-Roll_Billboard_A,61796,ACTIVE,ad_unit_api_v4
Pluto_Mid-Roll_Billboard_B,61797,ACTIVE,ad_unit_api_v4
